"id";"muscle_id";"exercise_id";"body_part_id";"muscle_type"
852;31;62;3;"secondary"
853;5;62;3;"secondary"
854;27;62;3;"secondary"
855;12;62;3;"secondary"
856;7;62;3;"antagonistic"
857;24;62;3;"antagonistic"
858;14;62;3;"antagonistic"
859;23;62;3;"antagonistic"
860;2;62;3;"antagonistic"
861;9;63;3;"primary"
862;12;63;3;"primary"
863;27;63;3;"primary"
864;26;63;3;"primary"
865;10;63;3;"secondary"
866;7;63;3;"secondary"
867;24;63;3;"secondary"
868;14;63;3;"secondary"
869;2;63;3;"secondary"
870;13;63;3;"secondary"
871;25;63;3;"secondary"
872;3;63;3;"antagonistic"
873;1;63;3;"antagonistic"
874;11;63;3;"antagonistic"
875;31;63;3;"antagonistic"
876;9;64;3;"primary"
877;12;64;3;"primary"
878;27;64;3;"primary"
879;26;64;3;"primary"
880;10;64;3;"secondary"
881;13;64;3;"secondary"
882;25;64;3;"secondary"
883;7;64;3;"secondary"
884;24;64;3;"secondary"
885;14;64;3;"secondary"
886;2;64;3;"secondary"
887;3;64;3;"antagonistic"
888;11;64;3;"antagonistic"
889;1;64;3;"antagonistic"
890;31;64;3;"antagonistic"
891;3;65;3;"primary"
892;9;65;3;"primary"
893;10;65;3;"primary"
894;12;65;3;"secondary"
895;27;65;3;"secondary"
896;26;65;3;"secondary"
897;39;65;3;"secondary"
898;38;65;3;"secondary"
899;31;65;3;"secondary"
900;28;65;3;"secondary"
901;13;65;3;"secondary"
902;25;65;3;"secondary"
903;30;65;3;"secondary"
904;7;65;3;"antagonistic"
905;1;65;3;"antagonistic"
906;11;65;3;"antagonistic"
907;2;65;3;"antagonistic"
908;12;66;3;"primary"
909;39;66;3;"primary"
910;13;66;3;"secondary"
911;25;66;3;"secondary"
912;3;66;3;"secondary"
913;10;66;3;"secondary"
914;9;66;3;"secondary"
915;27;66;3;"secondary"
916;38;66;3;"secondary"
917;11;66;3;"antagonistic"
918;26;66;3;"antagonistic"
919;1;66;3;"antagonistic"
920;7;66;3;"antagonistic"
921;21;67;3;"primary"
922;14;67;3;"primary"
923;9;67;3;"secondary"
924;6;67;3;"antagonistic"
925;7;67;3;"antagonistic"
926;1;67;3;"antagonistic"
927;11;67;3;"antagonistic"
928;6;68;3;"primary"
929;1;68;3;"primary"
930;11;68;3;"primary"
931;34;68;3;"primary"
932;7;68;3;"secondary"
933;24;68;3;"secondary"
934;3;68;3;"secondary"
935;21;68;3;"antagonistic"
936;14;68;3;"antagonistic"
937;34;1;1;"antagonistic"
938;34;2;1;"antagonistic"
939;34;4;1;"antagonistic"
940;34;3;1;"antagonistic"
941;34;5;1;"secondary"
942;34;6;1;"antagonistic"
943;34;7;1;"antagonistic"
944;34;8;1;"antagonistic"
945;34;9;1;"secondary"
946;34;10;1;"secondary"
947;34;11;1;"secondary"
948;34;14;1;"antagonistic"
949;34;15;1;"antagonistic"
950;34;16;1;"secondary"
951;34;17;1;"secondary"
952;34;18;1;"secondary"
953;34;19;1;"antagonistic"
954;34;20;1;"antagonistic"
955;34;21;2;"primary"
956;34;21;2;"secondary"
957;34;22;2;"secondary"
958;34;23;2;"secondary"
959;34;24;2;"secondary"
960;34;8;2;"antagonistic"
961;34;25;2;"primary"
962;34;26;2;"antagonistic"
963;34;29;2;"primary"
964;34;30;2;"primary"
965;34;31;2;"secondary"
966;34;37;2;"secondary"
967;34;38;2;"secondary"
968;34;44;3;"secondary"
969;34;45;3;"antagonistic"
970;34;46;3;"antagonistic"
971;34;47;3;"secondary"
972;34;51;3;"secondary"
973;34;52;3;"antagonistic"
974;34;62;3;"secondary"
975;34;63;3;"antagonistic"
976;34;64;3;"antagonistic"
977;34;65;3;"secondary"
978;22;32;2;"secondary"
979;22;39;3;"secondary"
980;22;44;3;"secondary"
981;22;50;3;"secondary"
982;22;51;3;"secondary"
983;22;62;3;"secondary"
