"id";"muscle_id";"exercise_id";"body_part_id";"muscle_type";"active"
734;23;52;3;"antagonistic";0
735;9;53;3;"primary";1
736;12;53;3;"primary";1
737;27;53;3;"primary";1
738;26;53;3;"primary";1
739;10;53;3;"secondary";1
740;13;53;3;"secondary";1
741;25;53;3;"secondary";1
742;21;53;3;"secondary";1
743;30;53;3;"secondary";1
744;37;53;3;"secondary";1
745;3;53;3;"antagonistic";0
746;11;53;3;"antagonistic";0
747;19;53;3;"antagonistic";0
748;7;53;3;"antagonistic";0
749;11;54;3;"primary";1
750;26;54;3;"primary";1
751;13;54;3;"secondary";1
752;25;54;3;"secondary";1
753;12;54;3;"antagonistic";0
754;39;54;3;"antagonistic";0
755;12;55;3;"primary";1
757;42;55;3;"primary";1
766;39;55;3;"secondary";1
768;11;55;3;"antagonistic";0
769;52;55;3;"antagonistic";0
773;56;56;3;"primary";1
774;52;56;3;"primary";1
783;12;56;3;"antagonistic";0
785;42;56;3;"antagonistic";0
792;19;56;3;"antagonistic";0
793;39;56;3;"antagonistic";0
795;42;57;3;"primary";1
796;56;57;3;"primary";1
797;52;57;3;"secondary";1
798;39;57;3;"secondary";1
801;3;58;3;"primary";1
802;10;58;3;"primary";1
803;35;58;3;"primary";1
804;36;58;3;"primary";1
805;38;58;3;"primary";1
806;9;58;3;"secondary";1
807;19;58;3;"secondary";1
808;12;58;3;"secondary";1
809;34;58;3;"secondary";1
810;5;58;3;"secondary";1
811;33;58;3;"secondary";1
812;7;58;3;"antagonistic";0
813;31;58;3;"antagonistic";0
814;23;58;3;"antagonistic";0
815;10;60;3;"primary";1
816;38;60;3;"primary";1
817;3;60;3;"secondary";1
818;9;60;3;"secondary";1
819;12;60;3;"secondary";1
820;27;60;3;"secondary";1
821;26;60;3;"secondary";1
822;5;60;3;"secondary";1
823;34;60;3;"secondary";1
824;6;60;3;"secondary";1
825;7;60;3;"antagonistic";0
826;23;60;3;"antagonistic";0
827;24;60;3;"antagonistic";0
828;14;60;3;"antagonistic";0
829;33;60;3;"antagonistic";0
830;31;60;3;"antagonistic";0
831;10;61;3;"primary";1
832;38;61;3;"primary";1
833;3;61;3;"secondary";1
834;9;61;3;"secondary";1
835;12;61;3;"secondary";1
836;27;61;3;"secondary";1
837;26;61;3;"secondary";1
838;5;61;3;"secondary";1
839;34;61;3;"secondary";1
840;6;61;3;"secondary";1
841;7;61;3;"antagonistic";0
842;23;61;3;"antagonistic";0
843;14;61;3;"antagonistic";0
844;24;61;3;"antagonistic";0
845;33;61;3;"antagonistic";0
846;31;61;3;"antagonistic";0
847;3;62;3;"primary";1
848;4;62;3;"primary";1
849;19;62;3;"secondary";1
850;10;62;3;"secondary";1
851;9;62;3;"secondary";1
852;31;62;3;"secondary";1
853;5;62;3;"secondary";1
854;27;62;3;"secondary";1
855;12;62;3;"secondary";1
856;7;62;3;"antagonistic";0
857;24;62;3;"antagonistic";0
858;14;62;3;"antagonistic";0
859;23;62;3;"antagonistic";0
860;2;62;3;"antagonistic";0
861;9;63;3;"primary";1
862;12;63;3;"primary";1
863;27;63;3;"primary";1
864;26;63;3;"primary";1
865;10;63;3;"secondary";1
866;7;63;3;"secondary";1
867;24;63;3;"secondary";1
868;14;63;3;"secondary";1
869;2;63;3;"secondary";1
870;13;63;3;"secondary";1
871;25;63;3;"secondary";1
872;3;63;3;"antagonistic";0
873;19;63;3;"antagonistic";0
874;11;63;3;"antagonistic";0
875;31;63;3;"antagonistic";0
876;9;64;3;"primary";1
877;12;64;3;"primary";1
878;27;64;3;"primary";1
879;26;64;3;"primary";1
880;10;64;3;"secondary";1
881;13;64;3;"secondary";1
882;25;64;3;"secondary";1
883;7;64;3;"secondary";1
884;24;64;3;"secondary";1
885;14;64;3;"secondary";1
886;2;64;3;"secondary";1
887;3;64;3;"antagonistic";0
888;11;64;3;"antagonistic";0
889;19;64;3;"antagonistic";0
890;31;64;3;"antagonistic";0
891;3;65;3;"primary";1
892;9;65;3;"primary";1
893;10;65;3;"primary";1
894;12;65;3;"secondary";1
895;27;65;3;"secondary";1
896;26;65;3;"secondary";1
897;39;65;3;"secondary";1
898;38;65;3;"secondary";1
899;31;65;3;"secondary";1
900;28;65;3;"secondary";1
901;13;65;3;"secondary";1
902;25;65;3;"secondary";1
903;30;65;3;"secondary";1
904;7;65;3;"antagonistic";0
905;19;65;3;"antagonistic";0
906;11;65;3;"antagonistic";0
907;2;65;3;"antagonistic";0
908;12;66;3;"primary";1
909;39;66;3;"primary";1
910;13;66;3;"secondary";1
911;25;66;3;"secondary";1
912;3;66;3;"secondary";1
913;10;66;3;"secondary";1
914;9;66;3;"secondary";1
915;27;66;3;"secondary";1
916;38;66;3;"secondary";1
917;11;66;3;"antagonistic";0
918;26;66;3;"antagonistic";0
919;19;66;3;"antagonistic";0
920;7;66;3;"antagonistic";0
921;21;67;3;"primary";1
922;14;67;3;"primary";1
923;9;67;3;"secondary";1
924;6;67;3;"antagonistic";0
925;7;67;3;"antagonistic";0
926;19;67;3;"antagonistic";0
927;11;67;3;"antagonistic";0
930;19;68;3;"primary";1
931;34;68;3;"primary";1
932;7;68;3;"secondary";1
933;24;68;3;"secondary";1
934;3;68;3;"secondary";1
935;21;68;3;"antagonistic";0
936;14;68;3;"antagonistic";0
937;34;1;1;"antagonistic";0
938;34;2;1;"antagonistic";0
